pid,duration_ms,time_signature,key,tempo,energy,mode,loudness,speechiness,danceability,acousticness,instrumentalness,valence,liveness,artist_followers,genre_other,genre_pop,genre_pop rock,genre_rap,genre_rock,playlist_genre
0,221777.46153846153,4.0,5.038461538461538,123.0068846153846,0.7821730769230767,0.6923076923076923,-4.881942307692309,0.10702115384615386,0.6592884615384617,0.08344034423076921,0.0006760100000000001,0.6429038461538462,0.19212692307692308,4795952.442307692,0.0,0.28846153846153844,0.23076923076923078,0.46153846153846156,0.019230769230769232,genre_rap
1,298844.1282051282,3.769230769230769,4.461538461538462,122.66961538461543,0.6910769230769229,0.5384615384615384,-8.291666666666666,0.08844871794871793,0.4964589743589744,0.1630999602564103,0.22226960333333337,0.47666666666666657,0.17843333333333328,1701063.6666666667,0.358974358974359,0.0,0.05128205128205128,0.0,0.5897435897435898,genre_rock
2,219374.875,4.0,5.0,114.60067187500002,0.6932031250000001,0.515625,-4.87415625,0.09628750000000003,0.671875,0.26922984375000003,0.0006378143749999997,0.565078125,0.16902812500000006,1686464.1875,0.046875,0.953125,0.0,0.0,0.0,genre_pop
3,229575.05555555556,3.9523809523809526,5.103174603174603,125.03241269841267,0.6212817460317464,0.7142857142857143,-9.614936507936505,0.06718571428571429,0.5137142857142858,0.2738704936507938,0.20204178277777782,0.45162301587301584,0.1885849206349206,212185.67460317462,0.23809523809523808,0.15079365079365079,0.3253968253968254,0.07142857142857142,0.21428571428571427,genre_pop rock
4,255014.35294117648,3.9411764705882355,3.3529411764705883,127.75988235294119,0.650535294117647,0.8235294117647058,-7.634470588235293,0.04115882352941176,0.5767647058823531,0.17714792941176466,0.08187547352941177,0.49076470588235305,0.16652352941176468,1165464.294117647,0.11764705882352941,0.11764705882352941,0.7058823529411765,0.0,0.058823529411764705,genre_pop rock
5,239452.975,3.9625,4.5875,122.84453749999996,0.7178124999999999,0.7375,-5.884399999999999,0.07667750000000002,0.6810124999999999,0.11634322500000002,0.0006296728749999999,0.56855,0.2125325,4745842.7,0.1375,0.2625,0.175,0.4125,0.0125,genre_rap
6,213035.8125,4.0625,4.3125,123.20831249999999,0.7795000000000001,0.8125,-6.621625,0.04679375,0.5050624999999999,0.0646603625,0.038226025,0.5059374999999999,0.22302499999999997,2224909.0625,0.0625,0.1875,0.25,0.0,0.5,genre_rock
7,239147.5849056604,3.9245283018867925,4.830188679245283,121.13298113207547,0.5757924528301887,0.33962264150943394,-7.816924528301889,0.07560943396226415,0.6464528301886793,0.31910690566037747,0.07638992528301886,0.4467603773584905,0.1237490566037736,695350.6037735849,0.39622641509433965,0.37735849056603776,0.09433962264150944,0.1320754716981132,0.0,genre_other
8,216281.15217391305,3.9782608695652173,5.521739130434782,130.53284782608694,0.6862391304347826,0.717391304347826,-6.393717391304349,0.050310869565217395,0.5123695652173914,0.17910687173913042,0.05718213956521742,0.5385869565217393,0.1886739130434782,4492999.5869565215,0.021739130434782608,0.17391304347826086,0.34782608695652173,0.021739130434782608,0.43478260869565216,genre_rock
9,204642.47619047618,3.9047619047619047,5.666666666666667,122.32371428571427,0.6314761904761904,0.7619047619047619,-8.440714285714288,0.049538095238095235,0.6132857142857143,0.32051904761904765,0.005609302857142858,0.6233809523809525,0.16654285714285716,344389.3333333333,0.5238095238095238,0.0,0.0,0.0,0.47619047619047616,genre_other
10,227825.34722222222,3.9305555555555554,5.416666666666667,126.78854166666666,0.6323194444444448,0.6111111111111112,-6.197819444444445,0.18728194444444454,0.7221666666666668,0.17098329166666665,8.548430555555556e-05,0.46152777777777776,0.17940694444444452,4302035.055555556,0.0,0.05555555555555555,0.027777777777777776,0.9166666666666666,0.0,genre_rap
11,266080.6194029851,3.970149253731343,5.462686567164179,120.31080597014923,0.6234701492537311,0.4552238805970149,-8.524059701492533,0.08128656716417913,0.6147985074626867,0.2254987253731343,0.3186516911940298,0.442913432835821,0.19920597014925373,1052769.4925373134,0.5895522388059702,0.12686567164179105,0.16417910447761194,0.1044776119402985,0.014925373134328358,genre_other
12,220150.44444444444,4.0,5.0,130.4698888888889,0.6102222222222222,0.6666666666666666,-7.824555555555555,0.07624444444444443,0.6261111111111111,0.29989999999999994,4.787777777777778e-05,0.5086666666666666,0.16362222222222222,2415530.888888889,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.0,genre_pop
13,233779.46153846153,3.8461538461538463,7.0,125.08292307692308,0.33907692307692305,0.7692307692307693,-8.633615384615386,0.04753076923076924,0.5163076923076924,0.6812153846153846,0.0008570153846153846,0.3364615384615385,0.12585384615384618,632977.0,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.0,0.0,genre_pop
